Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Sort Order
20 minutes or less,20-minutes-or-less,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,63c0dd3d44698a7fed1d8409,false,false,Fri Jan 13 2023 04:25:33 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),1
Freezer Friendly,freezer-friendly,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff873a6cea1818a89e4a,false,false,Sun Nov 06 2022 00:27:51 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),3
Gluten-Free,gluten-free,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff99c4e75f6b26030eb2,false,false,Sun Nov 06 2022 00:28:09 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),4
Grain-Free,grain-free,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff932529d1e6722859a7,false,false,Sun Nov 06 2022 00:28:03 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),5
Leftover Friendly,leftover-friendly,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,63c0dcda37c4bb0be75ce943,false,false,Fri Jan 13 2023 04:23:54 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),6
Meal Prep Friendly,meal-prep-friendly,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff8d71d5e9f3d0a61e36,false,false,Sun Nov 06 2022 00:27:57 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),7
Nut-Free,nut-free,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff7bc4e75fe7cf030d48,false,false,Sun Nov 06 2022 00:27:39 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),8
Oil-Free,oil-free,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff75c4e75f3f3e030d1e,false,false,Sun Nov 06 2022 00:27:33 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),9
Raw,raw,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff6fc4e75f10d1030cda,false,false,Sun Nov 06 2022 00:27:27 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),10
Refined Sugar-Free,refined-sugar-free,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff9ef31a181fe43055d2,false,false,Sun Nov 06 2022 00:28:14 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),11
Soy-Free,soy-free,635dafbda2af5f3bd77bb014,653ad7e5e882f528b34b59f5,6366ff8176bc3873f7c868fa,false,false,Sun Nov 06 2022 00:27:45 GMT+0000 (Coordinated Universal Time),Fri May 22 2026 22:57:22 GMT+0000 (Coordinated Universal Time),Sat May 23 2026 01:37:35 GMT+0000 (Coordinated Universal Time),12
